street_address,city,state,zip5,geocode_score,geocode_precision,latitude,longitude
"229 S HARRISON ST",PRINCETON,NJ,08540,0.965,range,40.347922,-74.640935
"53 WIGGINS ST",PRINCETON,NJ,08540,0.965,range,40.353414,-74.656947
"50 FISHER AVE",PRINCETON,NJ,08540,0.965,range,40.358868,-74.645625
"256 EDGERSTOUNE RD",PRINCETON,NJ,08540,0.943,range,40.340327,-74.686393
"36 SCOTT LN",PRINCETON,NJ,08540,0.965,range,40.355477,-74.64362
"460 CHRISTOPHER DR",PRINCETON,NJ,08540,0.965,range,40.351569,-74.704525
"5 HOLLY HSE D",PRINCETON,NJ,08540,0.577,street,40.322559,-74.683742
"345 EWING ST",PRINCETON,NJ,08540,0.965,range,40.362412,-74.653309
"210 MOUNTAIN AVE",PRINCETON,NJ,08540,0.965,range,40.35489,-74.676861
"201 MOORE ST",PRINCETON,NJ,08540,0.965,range,40.35854,-74.657651
"3 WINDERMERE WAY",PRINCETON,NJ,08540,0.965,range,40.360922,-74.698885
"3 WINDERMERE WAY",PRINCETON,NJ,08540,0.965,range,40.360922,-74.698885
"39 BENJAMIN RUSH LN",PRINCETON,NJ,08540,0.965,range,40.330027,-74.685671
"214 BIRCH AVE",PRINCETON,NJ,08542,1.0,range,40.355873,-74.667884
"39 BENJAMIN RUSH LN",PRINCETON,NJ,08540,0.965,range,40.330027,-74.685671
"312 N HARRISON ST",PRINCETON,NJ,08540,0.965,range,40.363374,-74.65203
"63 FARRAND RD",PRINCETON,NJ,08540,0.965,range,40.342952,-74.680519
"300 ELM RD 219",PRINCETON,NJ,08540,0.855,range,40.352522,-74.679184
"23 HILLSIDE AVE",PRINCETON,NJ,08540,0.965,range,40.387906,-74.658434
"216 REDDING CIR",PRINCETON,NJ,08540,0.965,range,40.372647,-74.659786
"89 POE RD",PRINCETON,NJ,08540,0.965,range,40.366432,-74.630676
"17 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.346472,-74.678672
"17 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.346472,-74.678672
"140 CRESTVIEW DR",PRINCETON,NJ,08540,0.965,range,40.372207,-74.66689
"43 DORANN AVE",PRINCETON,NJ,08540,0.965,range,40.361127,-74.647767
"46 WILTON ST",PRINCETON,NJ,08540,0.965,range,40.353582,-74.64206
"41 ERDMAN AVE",PRINCETON,NJ,08540,0.965,range,40.35949,-74.64654
"8 PRINCETON AVE",PRINCETON,NJ,08540,0.965,range,40.352967,-74.648069
"28 QUAKER RD",PRINCETON,NJ,08540,0.965,range,40.33254,-74.681387
"45 GREENBRIER ROW",PRINCETON,NJ,08540,0.943,range,40.376686,-74.650229
"155 EDGERSTOUNE RD",PRINCETON,NJ,08540,0.943,range,40.338391,-74.683318
"155 EDGERSTOUNE RD",PRINCETON,NJ,08540,0.943,range,40.338391,-74.683318
"238 WILLIAM LIVINGSTON CT",PRINCETON,NJ,08540,0.965,range,40.387827,-74.66158
"63 FARRAND RD",PRINCETON,NJ,08540,0.965,range,40.342952,-74.680519
"300 ELM RD 138",PRINCETON,NJ,08540,0.855,range,40.352522,-74.679184
"15 MULBERRY ROW",PRINCETON,NJ,08540,0.965,range,40.376361,-74.650907
"92 GULICK RD",PRINCETON,NJ,08540,0.965,range,40.367863,-74.629043
"1131 STUART RD",PRINCETON,NJ,08540,0.965,range,40.369342,-74.683762
"30 ERDMAN AVE",PRINCETON,NJ,08540,0.965,range,40.359686,-74.646211
"44 MERCER ST",PRINCETON,NJ,08540,0.965,range,40.346606,-74.664658
"68 LOVERS LN 3",PRINCETON,NJ,08540,0.933,range,40.340977,-74.672022
"753 PROSPECT AVE EXT",PRINCETON,NJ,08540,0.902,range,40.364089,-74.627035
"138 HERRONTOWN RD",PRINCETON,NJ,08540,0.965,range,40.376993,-74.630884
"71 PALMER SQUARE WEST G",PRINCETON,NJ,08542,0.971,range,40.34982,-74.661633
"1075 GREAT RD",PRINCETON,NJ,08540,0.965,range,40.37377,-74.695164
"1075 GREAT RD",PRINCETON,NJ,08540,0.965,range,40.37377,-74.695164
"26 CONISTON CT",PRINCETON,NJ,08540,0.965,range,40.359131,-74.689959
"46 PRINCETON AVE",PRINCETON,NJ,08540,0.965,range,40.351336,-74.646937
"16 COLLEGE RD WEST",PRINCETON,NJ,08540,0.965,range,40.342168,-74.664817
"6 OLDEN LN",PRINCETON,NJ,08540,0.868,street,40.338671,-74.670561
"46 PRINCETON AVE",PRINCETON,NJ,08540,0.965,range,40.351336,-74.646937
"315 RIVERSIDE DR",PRINCETON,NJ,08540,0.965,range,40.352022,-74.630303
"224 E STUART RD",PRINCETON,NJ,08540,0.965,range,40.376624,-74.657195
"27 E MARION RD",PRINCETON,NJ,08540,0.9,range,40.370124,-74.628076
"27 E MARION RD",PRINCETON,NJ,08540,0.9,range,40.370124,-74.628076
"13 CAMPBELTON CIR",PRINCETON,NJ,08540,0.965,range,40.347774,-74.670966
"30 WESTCOTT RD",PRINCETON,NJ,08540,0.965,range,40.353449,-74.669005
"95 LIBRARY PL",PRINCETON,NJ,08540,0.965,range,40.347576,-74.66862
"224 E STUART RD",PRINCETON,NJ,08540,0.965,range,40.376624,-74.657195
"51 PATTON AVE",PRINCETON,NJ,08540,0.965,range,40.351407,-74.646073
"124 MERCER ST",PRINCETON,NJ,08540,0.965,range,40.342926,-74.667468
"23 CARNAHAN PL",PRINCETON,NJ,08540,0.965,range,40.358785,-74.662027
"32 CUYLER RD",PRINCETON,NJ,08540,0.965,range,40.366167,-74.660453
"36 PARK PL",PRINCETON,NJ,08542,1.0,range,40.351775,-74.656334
"77 CLEARVIEW AVE",PRINCETON,NJ,08540,0.965,range,40.362259,-74.647899
"55 BALDWIN LN",PRINCETON,NJ,08540,0.965,range,40.377438,-74.693143
"43 GREENBRIER ROW",PRINCETON,NJ,08540,0.943,range,40.376694,-74.650241
"4339 PROVINCE LINE RD",PRINCETON,NJ,08540,0.965,range,40.305868,-74.693327
"654 STATE RD",PRINCETON,NJ,08540,0.965,range,40.380702,-74.662482
"35 TALBOT LN",PRINCETON,NJ,08540,0.965,range,40.321413,-74.689258
"151 MT LUCAS RD",PRINCETON,NJ,08540,0.892,range,40.365962,-74.662443
"80 STOCKTON ST",PRINCETON,NJ,08540,0.965,range,40.345801,-74.668617
"13 MACLEAN ST",PRINCETON,NJ,08542,1.0,range,40.354442,-74.662032
"21 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.346239,-74.678631
"61 ROBERT RD",PRINCETON,NJ,08540,0.965,range,40.353639,-74.639616
"132 310 ELM RD",PRINCETON,NJ,08540,0.855,range,40.346401,-74.674648
"49 WILSON RD",PRINCETON,NJ,08540,0.965,range,40.353992,-74.669544
"376 RIVERSIDE DR",PRINCETON,NJ,08540,0.965,range,40.355165,-74.629512
"49 WILSON RD",PRINCETON,NJ,08540,0.965,range,40.353992,-74.669544
"23 FISHER AVE",PRINCETON,NJ,08540,0.965,range,40.358709,-74.645882
"23 FISHER AVE",PRINCETON,NJ,08540,0.965,range,40.358709,-74.645882
"20 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.346931,-74.678991
"220 BULLOCK DR",PRINCETON,NJ,08540,0.965,range,40.326357,-74.684352
"416 NASSAU ST",PRINCETON,NJ,08540,0.965,range,40.355325,-74.64208
"61 OVERBROOK DR",PRINCETON,NJ,08540,0.965,range,40.367464,-74.638338
"125 JOHN ST",PRINCETON,NJ,08542,1.0,range,40.352269,-74.663111
"19 MORAN AVE",PRINCETON,NJ,08540,0.803,range,40.369001,-74.627309
"25 PHILIP DR",PRINCETON,NJ,08540,0.933,range,40.354551,-74.634023
"88 DOGWOOD HL",PRINCETON,NJ,08540,0.912,range,40.383655,-74.656217
"88 DOGWOOD HL",PRINCETON,NJ,08540,0.912,range,40.383655,-74.656217
"360 JEFFERSON RD",PRINCETON,NJ,08540,0.965,range,40.363633,-74.660456
"15 UNIVERSITY PL 2N",PRINCETON,NJ,08540,0.923,range,40.347983,-74.662653
"22 MADISON ST",PRINCETON,NJ,08542,1.0,range,40.35204,-74.656602
"37 CLEARVIEW AVE",PRINCETON,NJ,08540,0.965,range,40.361251,-74.649416
"30 BILLIE ELLIS LN",PRINCETON,NJ,08540,0.965,range,40.387753,-74.659172
"36 WOODLAND DR",PRINCETON,NJ,08540,0.965,range,40.369821,-74.664535
"44 WILKINSON WAY",PRINCETON,NJ,08540,0.965,range,40.326853,-74.685561
"8 STONEWALL CIR",PRINCETON,NJ,08540,0.965,range,40.380863,-74.675016
"159 PHILIP DR",PRINCETON,NJ,08540,0.933,range,40.353053,-74.62945
"197 VALLEY RD",PRINCETON,NJ,08540,0.965,range,40.363221,-74.656642
"801 MT LUCAS RD",PRINCETON,NJ,08540,0.892,range,40.387136,-74.653162
"44 WILKINSON WAY",PRINCETON,NJ,08540,0.965,range,40.326853,-74.685561
"801 MT LUCAS RD",PRINCETON,NJ,08540,0.892,range,40.387136,-74.653162
"48 CUYLER RD",PRINCETON,NJ,08540,0.965,range,40.366327,-74.659558
"75 CLAY ST",PRINCETON,NJ,08542,1.0,range,40.355589,-74.664012
"48 CUYLER RD",PRINCETON,NJ,08540,0.965,range,40.366327,-74.659558
"8 STONEWALL CIR",PRINCETON,NJ,08540,0.965,range,40.380863,-74.675016
"253 NASSAU ST 202",PRINCETON,NJ,08540,0.885,range,40.352285,-74.651341
"74 WILSON RD",PRINCETON,NJ,08540,0.965,range,40.354261,-74.669782
"52 CLEARVIEW AVE",PRINCETON,NJ,08540,0.965,range,40.361269,-74.649375
"171 WESTCOTT RD",PRINCETON,NJ,08540,0.965,range,40.351375,-74.677507
"24 DEMPSEY AVE",PRINCETON,NJ,08540,0.965,range,40.365168,-74.659241
"171 WESTCOTT RD",PRINCETON,NJ,08540,0.965,range,40.351375,-74.677507
"18 CUYLER RD",PRINCETON,NJ,08540,0.965,range,40.366005,-74.660942
"14 FORESTER DR",PRINCETON,NJ,08540,0.965,range,40.354323,-74.638765
"252 SNOWDEN LN",PRINCETON,NJ,08540,0.965,range,40.364485,-74.642399
"24 DEMPSEY AVE",PRINCETON,NJ,08540,0.965,range,40.365168,-74.659241
"20 BOGART CT",PRINCETON,NJ,08540,0.965,range,40.36944,-74.70855
"46 CEDAR LN",PRINCETON,NJ,08540,0.965,range,40.353159,-74.640583
"141 HUN RD",PRINCETON,NJ,08540,0.965,range,40.339187,-74.690664
"266 SHADYBROOK LN",PRINCETON,NJ,08540,0.965,range,40.36809,-74.634129
"549 JEFFERSON RD EXT",PRINCETON,NJ,08540,0.902,range,40.367238,-74.662088
"430 NASSAU ST",PRINCETON,NJ,08540,0.965,range,40.355948,-74.64082
"695 LAWRENCEVILLE RD",PRINCETON,NJ,08540,0.965,range,40.33219,-74.684854
"32 WHEATSHEAF LN",PRINCETON,NJ,08540,0.965,range,40.35811,-74.639773
"614 BRICKHOUSE RD",PRINCETON,NJ,08540,0.965,range,40.328855,-74.684732
"319 SNOWDEN LN",PRINCETON,NJ,08540,0.965,range,40.366312,-74.641408
"25 POTTERS RUN",PRINCETON,NJ,08540,0.965,range,40.327885,-74.69059
"25 POTTERS RUN",PRINCETON,NJ,08540,0.965,range,40.327885,-74.69059
"360 JEFFERSON RD",PRINCETON,NJ,08540,0.965,range,40.363633,-74.660456
"319 SNOWDEN LN",PRINCETON,NJ,08540,0.965,range,40.366312,-74.641408
"80 ALEXANDER ST 1N",PRINCETON,NJ,08540,0.92,range,40.343833,-74.661593
"40 BROOKSTONE DR",PRINCETON,NJ,08540,0.965,range,40.346602,-74.693646
"516 PRINCETON-KINGSTON RD",PRINCETON,NJ,08540,0.965,range,40.357717,-74.63703
"16 GREEN ST",PRINCETON,NJ,08542,1.0,range,40.352502,-74.661231
"23 ALL SAINTS RD",PRINCETON,NJ,08540,0.965,range,40.372755,-74.64343
"24 BALCORT DR",PRINCETON,NJ,08540,0.936,range,40.377444,-74.67602
"55 WITHERSPOON ST 504",PRINCETON,NJ,08542,0.945,range,40.351467,-74.660493
"81 WOODSIDE LN",PRINCETON,NJ,08540,0.965,range,40.354283,-74.630974
"4 HAWTHORNE AVE",PRINCETON,NJ,08540,0.965,range,40.355371,-74.65634
"4 HAWTHORNE AVE",PRINCETON,NJ,08540,0.965,range,40.355371,-74.65634
"36 HIBBEN RD",PRINCETON,NJ,08540,0.965,range,40.343416,-74.668615
"25 RED OAK ROW",PRINCETON,NJ,08540,0.965,range,40.377629,-74.651414
"58 HUMBERT ST",PRINCETON,NJ,08542,1.0,range,40.353738,-74.658319
"46 CEDAR LN",PRINCETON,NJ,08540,0.965,range,40.353159,-74.640583
"48 BILLIE ELLIS LN",PRINCETON,NJ,08540,0.965,range,40.386938,-74.659212
"95 LIBRARY PL",PRINCETON,NJ,08540,0.965,range,40.347576,-74.66862
"56 BATTLE RD",PRINCETON,NJ,08540,0.965,range,40.337255,-74.668629
"22 CORDOVA RD",PRINCETON,NJ,08540,0.965,range,40.383323,-74.63243
"613 BRICKHOUSE RD",PRINCETON,NJ,08540,0.965,range,40.328846,-74.684747
"432 BRICKHOUSE RD",PRINCETON,NJ,08540,0.965,range,40.330095,-74.68433
"36 HIBBEN RD",PRINCETON,NJ,08540,0.965,range,40.343416,-74.668615
"180 JEFFERSON RD",PRINCETON,NJ,08540,0.965,range,40.359712,-74.659526
"36 REDDING CIR",PRINCETON,NJ,08540,0.965,range,40.372437,-74.659368
"406 RIVERSIDE DR",PRINCETON,NJ,08540,0.965,range,40.356407,-74.629431
"49 GORDON WAY",PRINCETON,NJ,08540,0.965,range,40.355987,-74.645338
"1 MEETINGHOUSE CT",PRINCETON,NJ,08540,0.763,range,40.036851,-74.621854
"1 MEETINGHOUSE CT",PRINCETON,NJ,08540,0.763,range,40.036851,-74.621854
"518 BRICKHOUSE RD",PRINCETON,NJ,08540,0.965,range,40.329399,-74.683978
"19 JEFFERSON RD",PRINCETON,NJ,08540,0.965,range,40.353747,-74.656755
"31 RACE ST",PRINCETON,NJ,08542,1.0,range,40.356246,-74.667236
"970 GREAT RD",PRINCETON,NJ,08540,0.965,range,40.3697,-74.695019
"39 WILSON RD",PRINCETON,NJ,08540,0.965,range,40.353865,-74.66947
"221 NASSAU ST 2",PRINCETON,NJ,08542,0.967,range,40.351682,-74.653314
"65 ELM RD",PRINCETON,NJ,08540,0.965,range,40.344755,-74.673382
"212 JOHN ST 1ST FL",PRINCETON,NJ,08542,0.902,range,40.35467,-74.664138
"306 NASSAU ST",PRINCETON,NJ,08540,0.965,range,40.353324,-74.647674
"80 ERDMAN AVE",PRINCETON,NJ,08540,0.965,range,40.360478,-74.644341
"318 STONE CLIFF RD",PRINCETON,NJ,08540,0.965,range,40.351585,-74.706792
"43 MAIDENHEAD RD",PRINCETON,NJ,08540,0.648,zip,40.363882,-74.64795
"43 MAIDENHEAD RD",PRINCETON,NJ,08540,0.648,zip,40.363882,-74.64795
"186 MOORE ST",PRINCETON,NJ,08540,0.965,range,40.357877,-74.657438
"47 MAIDENHEAD RD",PRINCETON,NJ,08540,0.648,zip,40.363882,-74.64795
"47 MAIDENHEAD RD",PRINCETON,NJ,08540,0.648,zip,40.363882,-74.64795
"95 WILSON RD",PRINCETON,NJ,08540,0.965,range,40.354438,-74.669986
"72 MURRAY PL 1",PRINCETON,NJ,08540,0.933,range,40.350297,-74.648037
"1888 W STUART RD",PRINCETON,NJ,08540,0.738,street,40.36663,-74.691959
"43 BERTRAND DR",PRINCETON,NJ,08540,0.965,range,40.373174,-74.633262
"43 BERTRAND DR",PRINCETON,NJ,08540,0.965,range,40.373174,-74.633262
"30 BENJAMIN RUSH LN",PRINCETON,NJ,08540,0.965,range,40.330167,-74.686354
"25 LEIGH AVE",PRINCETON,NJ,08542,1.0,range,40.35634,-74.663738
"247 HARTLEY AVE",PRINCETON,NJ,08540,0.965,range,40.347271,-74.637884
"107 LINWOOD CIR",PRINCETON,NJ,08540,0.965,range,40.363775,-74.646132
"290 STOCKTON ST",PRINCETON,NJ,08540,0.965,range,40.341341,-74.67388
"20 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.346931,-74.678991
"65 WOODSIDE LN",PRINCETON,NJ,08540,0.965,range,40.354348,-74.63174
"42 GREENBRIER ROW",PRINCETON,NJ,08540,0.943,range,40.376698,-74.650249
"492 PRINCETON-KINGSTON RD",PRINCETON,NJ,08540,0.965,range,40.357371,-74.638094
"429 PROSPECT AVE EXT",PRINCETON,NJ,08540,0.902,range,40.355542,-74.634209
"203 BERTRAND DR",PRINCETON,NJ,08540,0.965,range,40.374733,-74.627027
"164 MOORE ST",PRINCETON,NJ,08540,0.965,range,40.357182,-74.657073
"203 BERTRAND DR",PRINCETON,NJ,08540,0.965,range,40.374733,-74.627027
"111 BIRCH AVE",PRINCETON,NJ,08542,1.0,range,40.356486,-74.665795
"276 N HARRISON ST",PRINCETON,NJ,08540,0.965,range,40.362548,-74.651575
"209 NASSAU ST B",PRINCETON,NJ,08542,0.967,range,40.351483,-74.65382
"19 LAMBERT DR",PRINCETON,NJ,08540,0.965,range,40.340558,-74.698576
"55 LOCUST LN",PRINCETON,NJ,08540,0.965,range,40.359558,-74.63519
"495 EWING ST",PRINCETON,NJ,08540,0.965,range,40.366912,-74.65653
"5 FISHER AVE",PRINCETON,NJ,08540,0.965,range,40.358601,-74.646056
"110 POTTERS RUN",PRINCETON,NJ,08540,0.965,range,40.328098,-74.690173
"52 ROSS STEVENSON CIR",PRINCETON,NJ,08540,0.965,range,40.380992,-74.655746
"177 MOORE ST",PRINCETON,NJ,08540,0.965,range,40.357724,-74.657389
"258 JOHN ST",PRINCETON,NJ,08542,1.0,range,40.355855,-74.664735
"317 BRICKHOUSE RD",PRINCETON,NJ,08540,0.965,range,40.330249,-74.683956
"446 NASSAU ST",PRINCETON,NJ,08540,0.965,range,40.356339,-74.640182
"19 CONISTON CT",PRINCETON,NJ,08540,0.965,range,40.358982,-74.690181
"35 TURNER CT",PRINCETON,NJ,08540,0.965,range,40.362739,-74.66261
"6 OLDEN LN",PRINCETON,NJ,08540,0.868,street,40.338671,-74.670561
"39 PINE ST",PRINCETON,NJ,08542,1.0,range,40.353248,-74.651141
"27 ROSEDALE RD",PRINCETON,NJ,08540,0.965,range,40.348029,-74.677532
"73 MCCOSH CIR",PRINCETON,NJ,08540,0.965,range,40.344824,-74.63704
"13 EARLE LN",PRINCETON,NJ,08540,0.965,range,40.332986,-74.665549
"4 OBER RD",PRINCETON,NJ,08540,0.965,range,40.336505,-74.664334
"30 BENJAMIN RUSH LN",PRINCETON,NJ,08540,0.965,range,40.330167,-74.686354
"32 DOGWOOD LN",PRINCETON,NJ,08540,0.965,range,40.348733,-74.631788
"135 MCCOSH CIR",PRINCETON,NJ,08540,0.965,range,40.345763,-74.636447
"68 POTTERS RUN",PRINCETON,NJ,08540,0.965,range,40.327992,-74.690381
"196 JONATHAN DAYTON CT",PRINCETON,NJ,08540,0.965,range,40.387581,-74.66124
"106 WORTHS MILL LN",PRINCETON,NJ,08540,0.965,range,40.323178,-74.686457
"345 NASSAU ST 3",PRINCETON,NJ,08540,0.933,range,40.354021,-74.645388
"1 ORCHARD CIR",PRINCETON,NJ,08540,0.965,range,40.347065,-74.670116
"41 JUNIPER ROW",PRINCETON,NJ,08540,0.965,range,40.37594,-74.651524
"18 CUYLER RD",PRINCETON,NJ,08540,0.965,range,40.366005,-74.660942
"361 NASSAU ST",PRINCETON,NJ,08540,0.965,range,40.354329,-74.644361
"173 NASSAU ST",PRINCETON,NJ,08542,1.0,range,40.350928,-74.655852
"51 SOUTHERN WAY",PRINCETON,NJ,08540,0.965,range,40.349923,-74.640419
"45 HARRIS RD",PRINCETON,NJ,08540,0.965,range,40.358377,-74.660517
"97 HARTLEY AVE",PRINCETON,NJ,08540,0.965,range,40.34625,-74.639766
"913 MERCER RD",PRINCETON,NJ,08540,0.965,range,40.319793,-74.685986
"16 MCCOMB RD",PRINCETON,NJ,08540,0.965,range,40.378192,-74.653847
"11 GREENBRIER ROW",PRINCETON,NJ,08540,0.943,range,40.376814,-74.650437
"25 RUNNING CEDAR RD",PRINCETON,NJ,08540,0.777,range,40.354579,-74.641655
"59 TALBOT LN",PRINCETON,NJ,08540,0.965,range,40.321206,-74.689842
"252 SNOWDEN LN",PRINCETON,NJ,08540,0.965,range,40.364485,-74.642399
"43 MAPLE ST",PRINCETON,NJ,08542,1.0,range,40.354442,-74.650689
"15 EDWARDS PL",PRINCETON,NJ,08540,0.965,range,40.346945,-74.661971
"495 PRINCETON-KINGSTON RD",PRINCETON,NJ,08540,0.965,range,40.357406,-74.638037
"2 PHEASANT HILL RD",PRINCETON,NJ,08540,0.786,street,40.357853,-74.712875
"296 WENDOVER DR",PRINCETON,NJ,08540,0.965,range,40.352206,-74.693381
"7 LOCUST LN",PRINCETON,NJ,08540,0.965,range,40.358958,-74.634622
"25 GALLUP RD",PRINCETON,NJ,08540,0.965,range,40.31693,-74.689117
"263 WALNUT LN",PRINCETON,NJ,08540,0.965,range,40.36205,-74.656262
"210 WINANT RD",PRINCETON,NJ,08540,0.965,range,40.338463,-74.683266
"32 FITCH WAY",PRINCETON,NJ,08540,0.965,range,40.378035,-74.681161
"21 EDWARDS PL 2",PRINCETON,NJ,08540,0.936,range,40.34691,-74.662032
"26 LEICESTER CT",PRINCETON,NJ,08540,0.965,range,40.329238,-74.688015
"26 LEICESTER CT",PRINCETON,NJ,08540,0.965,range,40.329238,-74.688015
"4 CHARLTON ST",PRINCETON,NJ,08540,0.965,range,40.351339,-74.654054
"138 POE RD",PRINCETON,NJ,08540,0.965,range,40.368732,-74.63117
"22 CAMERON CT",PRINCETON,NJ,08540,0.965,range,40.356014,-74.646389
"22 CAMERON CT",PRINCETON,NJ,08540,0.965,range,40.356014,-74.646389
"79 ERDMAN AVE",PRINCETON,NJ,08540,0.965,range,40.360286,-74.645209
"114 LAMBERT DR",PRINCETON,NJ,08540,0.965,range,40.340547,-74.698079
"49 ERDMAN AVE",PRINCETON,NJ,08540,0.965,range,40.359657,-74.64626
"90 LAMBERT DR",PRINCETON,NJ,08540,0.965,range,40.34055,-74.698214
"59 TALBOT LN",PRINCETON,NJ,08540,0.965,range,40.321206,-74.689842
"1 CAMERON CT",PRINCETON,NJ,08540,0.965,range,40.355717,-74.646206
"173 MANSGROVE RD",PRINCETON,NJ,08540,0.965,range,40.368589,-74.662872
"97 RANDALL RD",PRINCETON,NJ,08540,0.965,range,40.368365,-74.646993
"231 STATE RD",PRINCETON,NJ,08540,0.965,range,40.369914,-74.663206
"231 STATE RD",PRINCETON,NJ,08540,0.965,range,40.369914,-74.663206
"41 BATTLE RD",PRINCETON,NJ,08540,0.965,range,40.337833,-74.668281
"210 WINANT RD",PRINCETON,NJ,08540,0.965,range,40.338463,-74.683266
"80 SPRUCE ST",PRINCETON,NJ,08542,1.0,range,40.354511,-74.652529
"80 SPRUCE ST",PRINCETON,NJ,08542,1.0,range,40.354511,-74.652529
"2 PHEASANT HILL RD",PRINCETON,NJ,08540,0.786,street,40.357853,-74.712875
"118 LINDEN LN",PRINCETON,NJ,08540,0.965,range,40.35781,-74.650976
"34 LITTLEBROOK RD",PRINCETON,NJ,08540,0.965,range,40.362004,-74.636544
"60 LAUREL RD",PRINCETON,NJ,08540,0.965,range,40.366344,-74.663165
"60 LAUREL RD",PRINCETON,NJ,08540,0.965,range,40.366344,-74.663165
"17 HULFISH ST B",PRINCETON,NJ,08542,0.971,range,40.350403,-74.66342
