RowID,Block,Lot,Zone,AcreageInFractions,AddressNumber,StreetWithoutNumber,ClustrZone,HPC,Conforming,C1,Boro,CleanNumber,Residential,Fixups,FullAddress,geocode_score,geocode_precision,latitude,longitude
31,6002,4,R5,0.53,20,ADAMS DR,,FALSE,TRUE,,,20,Y,,"20 Adams Drive,Princeton,NJ",0.965,range,40.356196,-74.629024
32,6002,2,R5,0.52,56,ADAMS DR,,FALSE,TRUE,,,56,Y,,"56 Adams Drive,Princeton,NJ",0.965,range,40.356221,-74.627942
33,6002,3,R5,0.56,38,ADAMS DR,,FALSE,TRUE,,,38,Y,,"38 Adams Drive,Princeton,NJ",0.965,range,40.356209,-74.628655
35,6002,5,R5,0.54,10,ADAMS DR,,FALSE,TRUE,,,10,Y,,"10 Adams Drive,Princeton,NJ",2,Parcel,40.3564776,-74.62906722
37,51.01,27,R-3,0.11,17,AIKEN AVE,,FALSE,FALSE,,yes,17,Y,,"17 Aiken Avenue,Princeton,NJ",2,Parcel,40.35151704,-74.64790041
38,51.01,26,R-3,0.11,15,AIKEN AVE,,FALSE,FALSE,,yes,15,Y,,"15 Aiken Avenue,Princeton,NJ",0.965,range,40.351711,-74.648418
40,51.02,50,R-3,0.29,18,AIKEN AVE,,FALSE,FALSE,,yes,18,Y,,"18 Aiken Avenue,Princeton,NJ",0.965,range,40.35175,-74.64835
41,51.02,51,R-3,0.16,14,AIKEN AVE,,FALSE,FALSE,,yes,14,Y,,"14 Aiken Avenue,Princeton,NJ",0.965,range,40.351671,-74.648486
42,51.02,52,R-3,0.16,12,AIKEN AVE,,FALSE,FALSE,,yes,12,Y,,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
43,51.02,54,R-3,0.02,12,AIKEN AVE,,FALSE,FALSE,,yes,12,Y,,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
44,52.01,6,R-3,0.23,49,AIKEN AVE,,FALSE,FALSE,,yes,49,Y,,"49 Aiken Avenue,Princeton,NJ",0.965,range,40.35221,-74.647202
45,52.01,86,R-3,0.19,48,AIKEN AVE,,FALSE,FALSE,,yes,48,Y,,"48 Aiken Avenue,Princeton,NJ",0.965,range,40.352196,-74.647227
48,52.01,7,R-3,0.13,51,AIKEN AVE,,FALSE,FALSE,,yes,51,Y,,"51 Aiken Avenue,Princeton,NJ",2,Parcel,40.35223635,-74.64627758
49,52.01,85.01,R-3,0.09,52,AIKEN AVE,,FALSE,FALSE,,yes,52,Y,,"52 Aiken Avenue,Princeton,NJ",2,Parcel,40.3527624,-74.64655802
51,52.01,84,R-3,0.14,56,AIKEN AVE,,FALSE,FALSE,,yes,56,Y,,"56 Aiken Avenue,Princeton,NJ",2,Parcel,40.35283764,-74.64641262
57,10801,14,S1,0.14,168,ALEXANDER ST,,FALSE,FALSE,,,168,N,,"168 Alexander Street,Princeton,NJ",2,Parcel,40.34105846,-74.658998
63,10801,25,S1,0.25,118,ALEXANDER ST,,FALSE,FALSE,,,118,N,,"118 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.34211223,-74.66011518
64,10801,24,S1,0.17,126,ALEXANDER ST,,FALSE,FALSE,,,126,N,,"126 Alexander Street,Princeton,NJ",2,Parcel,40.34227049,-74.65994197
65,10801,22,S1,0.13,130,ALEXANDER ST,,FALSE,FALSE,,,130,N,,"130 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.33941675,-74.65801026
66,10801,21,S1,0.12,134,ALEXANDER ST,,FALSE,FALSE,,,134,N,,"134 Alexander Street,Princeton,NJ",2,Parcel,40.34199093,-74.65972447
67,10801,19,S1,0.15,144,ALEXANDER ST,,FALSE,FALSE,,,144,N,,"144 Alexander Street,Princeton,NJ",2,Parcel,40.34174036,-74.65952949
70,10801,15,S1,0.23,162,ALEXANDER ST,,FALSE,FALSE,,,162,N,,"162 Alexander Street,Princeton,NJ",2,Parcel,40.34121011,-74.65911698
71,10801,20,S1,0.18,138,ALEXANDER ST,,FALSE,FALSE,,,138,N,,"138 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.34213189,-74.66013026
72,10801,13,S1,0.21,172,ALEXANDER ST,,FALSE,FALSE,,,172,N,,"172 Alexander Street,Princeton,NJ",2,Parcel,40.34091795,-74.65888964
73,10801,12,S1,0.29,180,ALEXANDER ST,,FALSE,FALSE,,,180,N,,"180 Alexander Street,Princeton,NJ",2,Parcel,40.34071898,-74.65873492
74,10801,11,S1,0.15,184,ALEXANDER ST,,FALSE,FALSE,,,184,N,,"184 Alexander Street,Princeton,NJ",2,Parcel,40.3405437,-74.6585984
75,10801,10,S1,0.15,188,ALEXANDER ST,,FALSE,FALSE,,,188,N,,"188 Alexander Street,Princeton,NJ",2,Parcel,40.34042572,-74.65850666
76,10801,9,S1,0.76,194,ALEXANDER ST,,FALSE,FALSE,,,194,N,,"194 Alexander Street,Princeton,NJ",2,Parcel,40.3400682,-74.65822849
77,10801,8,S1,0.12,212,ALEXANDER ST,,FALSE,FALSE,,,212,N,,"212 Alexander Street,Princeton,NJ",2,Parcel,40.33972324,-74.6579601
78,10801,7,S1,0.25,216,ALEXANDER ST,,FALSE,FALSE,,,216,N,,"216 Alexander Street,Princeton,NJ",2,Parcel,40.33957875,-74.65784696
79,10801,6,S1,0.69,228,ALEXANDER ST,,FALSE,FALSE,,,228,N,,"228 Alexander Street,Princeton,NJ",2,Parcel,40.33920926,-74.6575603
80,10801,5,S1,0.25,242,ALEXANDER ST,,FALSE,TRUE,,,242,N,,"242 Alexander Street,Princeton,NJ",2,Parcel,40.33881474,-74.65729664
81,10801,4,S1,0.46,252,ALEXANDER ST,,FALSE,TRUE,,,252,N,,"252 Alexander Street,Princeton,NJ",2,Parcel,40.3385738,-74.65704221
83,10801,16,S1,0.15,156,ALEXANDER ST,,FALSE,FALSE,,,156,N,,"156 Alexander Street,Princeton,NJ",2,Parcel,40.34136349,-74.6592363
84,10801,18,S1,0.16,148,ALEXANDER ST,,FALSE,FALSE,,,148,N,,"148 Alexander Street,Princeton,NJ",2,Parcel,40.34162298,-74.65943821
93,11301,4,R9,0.22,441,ALEXANDER ST,,FALSE,TRUE,,,441,Y,,"441 Alexander Street,Princeton,NJ",2,Parcel,40.33269941,-74.65492806
94,11301,3,R9,0.17,435,ALEXANDER ST,,FALSE,TRUE,,,435,Y,,"435 Alexander Street,Princeton,NJ",0.652,street,40.331806,-74.652389
96,11501,3,S1,0.32,278,ALEXANDER ST,,FALSE,TRUE,,,278,N,,"278 Alexander Street,Princeton,NJ",2,Parcel,40.33785891,-74.65649661
97,11501,4,S1,0.15,282,ALEXANDER ST,,FALSE,FALSE,,,282,N,,"282 Alexander Street,Princeton,NJ",2,Parcel,40.33768793,-74.65636321
98,11501,5,S1,0.16,286,ALEXANDER ST,,FALSE,FALSE,,,286,N,,"286 Alexander Street,Princeton,NJ",2,Parcel,40.33757009,-74.65627121
99,11501,2,S1,0.16,270,ALEXANDER ST,,FALSE,FALSE,,,270,N,,"270 Alexander Street,Princeton,NJ",2,Parcel,40.33802689,-74.65664157
100,11501,6,S1,0.16,290,ALEXANDER ST,,FALSE,FALSE,,,290,N,,"290 Alexander Street,Princeton,NJ",2,Parcel,40.33745226,-74.6561792
101,11501,7,S1,0.16,294,ALEXANDER ST,,FALSE,FALSE,,,294,N,,"294 Alexander Street,Princeton,NJ",2,Parcel,40.33733442,-74.65608721
102,11501,8,S1,0.5,306,ALEXANDER ST,,FALSE,TRUE,,,306,N,,"306 Alexander Street,Princeton,NJ",2,Parcel,40.33709855,-74.65590301
103,11501,9,S1,1.68,332,ALEXANDER ST,,FALSE,TRUE,,,332,N,,"332 Alexander Street,Princeton,NJ",2,Parcel,40.33632905,-74.65530214
104,11501,1,S1,0.38,272,ALEXANDER ST,,FALSE,FALSE,,,272,N,,"272 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.33528428,-74.65481099
107,11501,10,S1,1.01,370,ALEXANDER ST,,FALSE,TRUE,,,370,N,,"370 Alexander Street,Princeton,NJ",2,Parcel,40.3353868,-74.65456638
108,11501,11,S1,0.66,378,ALEXANDER ST,,FALSE,TRUE,,,378,N,,"378 Alexander Street,Princeton,NJ",2,Parcel,40.33482867,-74.65412487
109,40.01,7,0.09,E-4MP,15,ALEXANDER ST,,TRUE,FALSE,,yes,15,N,,"15 Alexander Street,Princeton,NJ",2,Parcel,40.34597602,-74.66398337
110,40.01,11 C02,0.04,R-3MP,80,ALEXANDER ST,,TRUE,FALSE,,yes,80,N,,"80 Alexander Street,Princeton,NJ",0.92,range,40.343833,-74.661593
111,40.01,11 C01,0.15,R-3MP,31,ALEXANDER ST,,TRUE,FALSE,,yes,31,N,,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
112,40.01,11,0,R-3MP,31,ALEXANDER ST,,TRUE,FALSE,,yes,31,N,,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
113,40.01,10,0.24,R-3MP,29,ALEXANDER ST,,TRUE,FALSE,,yes,29,N,,"29 Alexander Street,Princeton,NJ",2,Parcel,40.34567082,-74.66345399
114,40.01,9 C02,0.16,R-3MP,27,ALEXANDER ST,,TRUE,FALSE,,yes,27,N,,"27 Alexander Street,Princeton,NJ",2,Parcel,40.34576176,-74.66365386
115,40.01,7,0.09,R-3MP,17,ALEXANDER ST,,FALSE,FALSE,,yes,17,N,,"17 Alexander Street,Princeton,NJ",0.965,range,40.346267,-74.663972
116,40.01,9 c01,0.16,R-3MP,25,ALEXANDER ST,,TRUE,FALSE,,yes,25,N,,"25 Alexander Street,Princeton,NJ",0.965,range,40.346097,-74.663685
117,40.01,6,0.1,E-4MP,11,ALEXANDER ST,,TRUE,FALSE,,yes,11,N,,"11 Alexander Street,Princeton,NJ",2,Parcel,40.34609454,-74.66409736
120,40.01,8,0.24,R-3MP,19,ALEXANDER ST,,TRUE,FALSE,,yes,19,N,,"19 Alexander Street,Princeton,NJ",0.965,range,40.346224,-74.663901
121,41.01,9.02,0.09,R-3MP,14,ALEXANDER ST,,TRUE,FALSE,,yes,14,N,,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
122,41.01,8,0.15,R-3MP,16,ALEXANDER ST,,TRUE,FALSE,,yes,16,N,,"16 Alexander Street,Princeton,NJ",2,Parcel,40.34649324,-74.66344094
123,41.01,7,0.18,R-3MP,20,ALEXANDER ST,,TRUE,FALSE,,yes,20,N,,"20 Alexander Street,Princeton,NJ",2,Parcel,40.34627245,-74.66339948
124,41.01,6,0.13,R-3MP,22,ALEXANDER ST,,TRUE,FALSE,,yes,22,N,,"22 Alexander Street,Princeton,NJ",0.965,range,40.346182,-74.663829
126,41.01,9.01,0.21,R-3MP,14,ALEXANDER ST,,TRUE,FALSE,,yes,14,N,,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
129,43.01,3,0.16,R-3,75,ALEXANDER ST,,FALSE,FALSE,,yes,75,N,,"75 Alexander Street,Princeton,NJ",0.868,street,40.34415,-74.661781
130,43.01,4,1.53,R-3,79,ALEXANDER ST,,FALSE,FALSE,,yes,79,N,,"79 Alexander Street,Princeton,NJ",2,Parcel,40.34342217,-74.66200249
131,43.01,5,0.52,R-3,99,ALEXANDER ST,,FALSE,FALSE,,yes,99,N,,"99 Alexander Street,Princeton,NJ",2,Parcel,40.34285337,-74.66158549
133,43.01,6,1.83,NB,115,ALEXANDER ST,,TRUE,FALSE,,yes,115,N,,"115 Alexander Street,Princeton,NJ",2,Parcel,40.3424585,-74.66127755
134,4301,2,0,R-3,69,ALEXANDER ST,,FALSE,FALSE,,yes,69,N,,"69 Alexander Street,Princeton,NJ",2,Parcel,40.34398988,-74.66224574
135,44.01,14,0.13,R-3,76,ALEXANDER ST,,FALSE,FALSE,,yes,76,N,,"76 Alexander Street,Princeton,NJ",2,Parcel,40.34398,-74.66123997
136,44.01,15,0.13,R-3,74,ALEXANDER ST,,FALSE,FALSE,,yes,74,N,,"74 Alexander Street,Princeton,NJ",2,Parcel,40.34408028,-74.6613179
137,44.01,12.01,0.15,R-3,80,ALEXANDER ST,,FALSE,FALSE,,yes,80,N,,"80 Alexander Street,Princeton,NJ",0.92,range,40.343833,-74.661593
138,44.01,11,0.14,R-3,84,ALEXANDER ST,,FALSE,FALSE,,yes,84,N,,"84 Alexander Street,Princeton,NJ",2,Parcel,40.34365512,-74.66102471
139,44.01,16,0.17,R-3,70,ALEXANDER ST,,FALSE,FALSE,,yes,70,N,,"70 Alexander Street,Princeton,NJ",0.868,street,40.344331,-74.661889
141,44.02,2,0.04,NB,108,ALEXANDER ST,,FALSE,FALSE,,yes,108,N,,"108 Alexander Street,Princeton,NJ",2,Parcel,40.34275988,-74.66045278
142,44.02,3,0.07,NB,106,ALEXANDER ST,,FALSE,FALSE,,yes,106,N,,"106 Alexander Street,Princeton,NJ",2,Parcel,40.34285416,-74.66052635
144,4401,11,R2,1.5,8,ALL SAINTS RD,,FALSE,TRUE,,,8,Y,,"08 All Saints Road,Princeton,NJ",3,StreetSegmentInterpolation,40.37230404,-74.64328516
145,4401,6,R2,1.91,77,ALL SAINTS RD,,FALSE,TRUE,,,77,Y,,"77 All Saints Road,Princeton,NJ",2,Parcel,40.37555766,-74.64332675
146,4401,7,R2,1.5,63,ALL SAINTS RD,,FALSE,TRUE,,,63,Y,,"63 All Saints Road,Princeton,NJ",0.965,range,40.373864,-74.643716
147,4401,8,R2,1.55,57,ALL SAINTS RD,,FALSE,TRUE,,,57,Y,,"57 All Saints Road,Princeton,NJ",0.965,range,40.373716,-74.643916
148,4401,5,R2,1.62,42,ALL SAINTS RD,,FALSE,TRUE,,,42,Y,,"42 All Saints Road,Princeton,NJ",0.965,range,40.373297,-74.643747
149,4401,9,R2,1.5,41,ALL SAINTS RD,,FALSE,TRUE,,,41,Y,,"41 All Saints Road,Princeton,NJ",2,Parcel,40.3735762,-74.64336273
150,4401,10,R2,1.5,23,ALL SAINTS RD,,FALSE,TRUE,,,23,Y,,"23 All Saints Road,Princeton,NJ",0.965,range,40.372755,-74.64343
151,4401,4,R2,1.51,26,ALL SAINTS RD,,FALSE,TRUE,,,26,Y,,"26 All Saints Road,Princeton,NJ",2,Parcel,40.37414117,-74.64418888
152,10.02,55,0.61,R-1,33,ALLISON RD,,FALSE,FALSE,,yes,33,N,,"33 Allison Road,Princeton,NJ",0.965,range,40.346673,-74.672117
153,10.02,65,1.17,R-1,74,ALLISON RD,,FALSE,FALSE,,yes,74,N,,"74 Allison Road,Princeton,NJ",2,Parcel,40.34581351,-74.67247971
154,10.02,69,0.65,R-1,42,ALLISON RD,,FALSE,FALSE,,yes,42,N,,"42 Allison Road,Princeton,NJ",0.965,range,40.346495,-74.672295
155,10.02,68,0.65,R-1,50,ALLISON RD,,FALSE,FALSE,,yes,50,N,,"50 Allison Road,Princeton,NJ",0.965,range,40.34633,-74.672459
156,10.02,56,0.61,R-1,41,ALLISON RD,,FALSE,FALSE,,yes,41,N,,"41 Allison Road,Princeton,NJ",0.965,range,40.346512,-74.672278
157,10.02,59,0.61,R-1,65,ALLISON RD,,FALSE,FALSE,,yes,65,N,,"65 Allison Road,Princeton,NJ",0.965,range,40.346028,-74.673015
158,10.02,60,0.61,R-1,73,ALLISON RD,,FALSE,FALSE,,yes,73,N,,"73 Allison Road,Princeton,NJ",2,Parcel,40.34645148,-74.67327669
159,10.02,61,0.63,R-1,83,ALLISON RD,,FALSE,FALSE,,yes,83,N,,"83 Allison Road,Princeton,NJ",0.965,range,40.34571,-74.673514
161,10.02,63,0.49,R-1,94,ALLISON RD,,FALSE,FALSE,,yes,94,N,,"94 Allison Road,Princeton,NJ",2,Parcel,40.34545261,-74.67354318
162,10.02,57,0.61,R-1,49,ALLISON RD,,FALSE,FALSE,,yes,49,N,,"49 Allison Road,Princeton,NJ",0.965,range,40.34635,-74.672439
163,10.02,67,0.78,R-1,58,ALLISON RD,,FALSE,FALSE,,yes,58,N,,"58 Allison Road,Princeton,NJ",0.965,range,40.346165,-74.672624
164,10.02,64,0.89,R-1,84,ALLISON RD,,FALSE,FALSE,,yes,84,N,,"84 Allison Road,Princeton,NJ",0.965,range,40.345683,-74.673555
165,10.02,70,0.72,R-1,34,ALLISON RD,,FALSE,FALSE,,yes,34,N,,"34 Allison Road,Princeton,NJ",0.965,range,40.34666,-74.672131
166,5301,40,CLU,0.6,3,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,3,N,,"03 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36453727,-74.66758952
168,5301,32,CLU,0.6,21,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,21,N,,"21 Andrews Lane,Princeton,NJ",0.965,range,40.368516,-74.665806
169,5301,31,CLU,0.81,23,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,23,N,,"23 Andrews Lane,Princeton,NJ",2,Parcel,40.36772987,-74.66561894
170,5301,39,CLU,0.59,5,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,,,5,N,,"05 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36458761,-74.66747709
171,5301,23,CLU,0.6,10,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,10,N,,"10 Andrews Lane,Princeton,NJ",2,Parcel,40.36557317,-74.66705951
172,5301,21,CLU,0.62,2,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,2,N,,"02 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36452541,-74.66787742
173,5301,24,CLU,0.6,12,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,12,N,,"12 Andrews Lane,Princeton,NJ",0.965,range,40.366345,-74.666629
175,5301,37,CLU,0.6,9,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,,,9,N,,"09 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36468849,-74.66725236
177,5301,22,CLU,0.6,6,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,6,N,,"06 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36462004,-74.66764946
180,5301,34,CLU,0.6,17,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,,,17,N,,"17 Andrews Lane,Princeton,NJ",2,Parcel,40.36655626,-74.66617505
181,5301,26,CLU,0.6,18,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,18,N,,"18 Andrews Lane,Princeton,NJ",0.965,range,40.367632,-74.666028
183,5301,27,CLU,0.6,20,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,yes,,20,N,,"20 Andrews Lane,Princeton,NJ",0.965,range,40.368071,-74.665889
184,5301,38,CLU,0.6,7,ANDREWS LN,Andrews-Foulet,FALSE,TRUE,,,7,N,,"07 Andrews Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.36463802,-74.66736471
186,10.01,37,0.92,R-1,36,ARMOUR RD,,FALSE,FALSE,,yes,36,N,,"36 Armour Road,Princeton,NJ",2,Parcel,40.34421099,-74.67141391
187,10.01,36,0.98,R-1,44,ARMOUR RD,,FALSE,FALSE,,yes,44,N,,"44 Armour Road,Princeton,NJ",0.965,range,40.344987,-74.671064
190,10.01,39,R-1,0.67,24,ARMOUR RD,,FALSE,FALSE,,yes,24,Y,,"24 Armour Road,Princeton,NJ",0.965,range,40.345397,-74.670653
194,10.02,32,R-1,1.03,55,ARMOUR RD,,FALSE,FALSE,,yes,55,Y,,"55 Armour Road,Princeton,NJ",0.965,range,40.344761,-74.671601
195,10.02,25,R-1,0.79,1,ARMOUR RD,,FALSE,FALSE,,yes,1,Y,,"1 Armour Road,Princeton,NJ",0.965,range,40.345849,-74.6702
196,10.02,31,R-1,0.88,41,ARMOUR RD,,FALSE,FALSE,,yes,41,Y,,"41 Armour Road,Princeton,NJ",0.965,range,40.345044,-74.671006
197,10.02,27,R-1,0.63,17,ARMOUR RD,,FALSE,FALSE,,yes,17,Y,,"17 Armour Road,Princeton,NJ",0.965,range,40.345527,-74.670523
198,10.02,28,R-1,0.63,23,ARMOUR RD,,FALSE,FALSE,,yes,23,Y,,"23 Armour Road,Princeton,NJ",2,Parcel,40.34545986,-74.67154471
199,10.02,29,R-1,0.63,27,ARMOUR RD,,FALSE,FALSE,,yes,27,Y,,"27 Armour Road,Princeton,NJ",0.965,range,40.345326,-74.670724
200,10.02,26,R-1,0.63,7,ARMOUR RD,,FALSE,FALSE,,yes,7,Y,,"7 Armour Road,Princeton,NJ",0.965,range,40.345728,-74.670321
203,2501,23,R2,2.42,22,ARRETON RD,,TRUE,TRUE,,,22,Y,,"22 Arreton Road,Princeton,NJ",0.965,range,40.382005,-74.662522
205,2501,18,CLU,1,130,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,130,N,,"130 Arreton Road,Princeton,NJ",0.965,range,40.382956,-74.667975
208,2501,7,CLU,1.25,255,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,255,N,,"255 Arreton Road,Princeton,NJ",2,Parcel,40.37984169,-74.66572006
209,2501,19,RA,3.25,96,ARRETON RD,,FALSE,FALSE,,,96,Y,,"96 Arreton Road,Princeton,NJ",2,Parcel,40.38197286,-74.66627044
210,2501,9,CLU,1.09,250,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,250,N,,"250 Arreton Road,Princeton,NJ",2,Parcel,40.38066494,-74.66545191
213,2501,6,CLU,1.04,245,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,245,N,,"245 Arreton Road,Princeton,NJ",2,Parcel,40.37979014,-74.66654642
216,2501,12,CLU,1.02,220,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,220,N,,"220 Arreton Road,Princeton,NJ",2,Parcel,40.38079373,-74.66764022
218,2501,13,CLU,1,210,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,210,N,,"210 Arreton Road,Princeton,NJ",2,Parcel,40.38114691,-74.66817116
219,2501,2,CLU,1,205,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,205,N,,"205 Arreton Road,Princeton,NJ",2,Parcel,40.38067776,-74.66891443
222,2501,16,CLU,1,150,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,150,N,,"150 Arreton Road,Princeton,NJ",0.965,range,40.382828,-74.668986
223,2501,5,CLU,1,235,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,235,N,,"235 Arreton Road,Princeton,NJ",0.965,range,40.380193,-74.666998
225,2502,10,RA,3.51,45,ARRETON RD,,TRUE,FALSE,,,45,Y,,"45 Arreton Road,Princeton,NJ",0.965,range,40.382441,-74.664872
226,2502,3,CLU,1,185,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,185,N,,"185 Arreton Road,Princeton,NJ",2,Parcel,40.38179774,-74.66991891
227,2502,2,CLU,1,195,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,195,N,,"195 Arreton Road,Princeton,NJ",2,Parcel,40.38128068,-74.66953455
228,2502,4,CLU,1,175,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,175,N,,"175 Arreton Road,Princeton,NJ",2,Parcel,40.38231509,-74.66991613
230,2502,6,CLU,1,155,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,155,N,,"155 Arreton Road,Princeton,NJ",2,Parcel,40.38321256,-74.66925014
231,2502,7,CLU,1,135,ARRETON RD,Princeton Ridge,FALSE,TRUE,,,135,N,,"135 Arreton Road,Princeton,NJ",0.965,range,40.381189,-74.66886
232,2502,9,RA,4.36,77,ARRETON RD,,TRUE,TRUE,,,77,Y,,"77 Arreton Road,Princeton,NJ",2,Parcel,40.38313447,-74.66518722
233,2502,8,RA,3.99,115,ARRETON RD,,TRUE,FALSE,,,115,Y,,"115 Arreton Road,Princeton,NJ",0.965,range,40.38209,-74.669421
234,6101,3,R1,2.04,58,AUDUBON LN,,FALSE,TRUE,yes,,58,Y,,"58 Audubon Lane,Princeton,NJ",0.965,range,40.345915,-74.703756
235,6101,2,R1,2.17,90,AUDUBON LN,,FALSE,TRUE,,,90,Y,,"90 Audubon Lane,Princeton,NJ",0.965,range,40.345999,-74.70642
236,6101,1,R1,2.03,120,AUDUBON LN,,FALSE,TRUE,,,120,Y,,"120 Audubon Lane,Princeton,NJ",2,Parcel,40.34558407,-74.70561505
237,6101,5,R1,2.04,2,AUDUBON LN,,FALSE,TRUE,yes,,2,Y,,"02 Audubon Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.34347718,-74.70172377
238,6101,4,R1,2,28,AUDUBON LN,,FALSE,TRUE,yes,,28,Y,,"28 Audubon Lane,Princeton,NJ",0.965,range,40.344701,-74.702606
240,6102,1,R1,3.23,1,AUDUBON LN,,FALSE,FALSE,,,1,Y,,"01 Audubon Lane,Princeton,NJ",3,StreetSegmentInterpolation,40.34363296,-74.7016387
241,6102,6,R1,2.01,105,AUDUBON LN,,FALSE,TRUE,,,105,Y,,"105 Audubon Lane,Princeton,NJ",0.965,range,40.345999,-74.70642
243,6102,2,R1,2.02,23,AUDUBON LN,,FALSE,TRUE,yes,,23,Y,,"23 Audubon Lane,Princeton,NJ",0.965,range,40.344402,-74.702323
244,6102,4,R1,2.09,67,AUDUBON LN,,FALSE,TRUE,,,67,Y,,"67 Audubon Lane,Princeton,NJ",2,Parcel,40.34591612,-74.70326173
245,1302,6,R2,1.5,90,AUTUMN HIL RD,,FALSE,TRUE,,,90,Y,,"90 Autumn Hil Road,Princeton,NJ",3,StreetSegmentInterpolation,40.3823859,-74.63613352
246,1301,16,R2,2.3,107,AUTUMN HILL RD,,FALSE,TRUE,,,107,Y,,"107 Autumn Hill Road,Princeton,NJ",0.965,range,40.382581,-74.635416
